index,F,E0,mag,vol,nFe,nCo,nS
1237,-38.562475,-38.559498,8.2231,87.28,2,2,2
1238,-430.65519,-430.60439,0.0054,920.18,8,32,32
1239,-150.93542,-150.92333,3.0878,372.15,8,4,12
1240,-173.85058,-173.84138,5.6385,403.33,10,2,16
1241,-85.531732,-85.525532,9.9023,231.33,2,6,6
1242,-118.19277,-118.18286,0.0094,316.12,4,4,12
1243,-82.286744,-82.282169,1.4292,192.63,1,5,8
1244,-61.506256,-61.499968,6.0234,129.84,1,5,4
1245,-53.987543,-53.985126,4.25,142.01,2,2,5
1246,-274.87972,-274.86093,0.0092,799.08,2,16,32
1247,-60.333392,-60.327448,2.8256,156.08,1,5,4
1248,-91.383507,-91.379414,7.5041,251.59,4,2,10
1249,-349.91596,-349.89841,24.3347,572.44,30,2,19
1250,-48.649615,-48.644495,2.0436,123.3,1,3,4
1251,-287.74601,-287.73321,10.5011,780.44,16,1,32
1252,-126.94668,-126.9357,3.8973,310.62,8,2,10
1253,-256.69828,-256.68668,31.5685,602.69,8,16,16
1254,-110.18938,-110.18254,19.4878,182.65,6,6,4
1255,-292.32211,-292.30253,0.0857,815.27,2,18,32
1256,-267.52072,-267.49818,0.0007,774.9,1,16,32
1257,-131.58722,-131.57526,0.0176,359.6,4,6,12
1258,-112.19898,-112.19189,13.0466,174.5,3,12,1
1259,-920.82837,-920.78613,46.7244,2382.58,48,10,96
1260,-91.832134,-91.826662,0.0944,217.12,3,4,8
1261,-47.834661,-47.831895,5.5275,127.97,2,2,4
1262,-58.52336,-58.519885,2.474,99.8,2,4,3
1263,-268.95509,-268.9376,6.6796,695.39,14,6,24
1264,-42.012703,-42.007901,0.5922,117.47,2,1,4
1265,-167.0636,-167.05216,4.5223,452.11,4,8,16
1266,-58.421676,-58.415336,2.2232,97.49,2,4,3
1267,-167.12895,-167.12204,5.7623,386.29,4,8,16
1268,-172.71615,-172.70409,1.5394,399.79,8,4,16
1269,-24.718794,-24.716863,1.7999,66.78,1,1,2
1270,-93.789037,-93.783234,0.4195,225.43,4,3,8
1271,-593.31772,-593.27552,51.9295,1531.9,24,24,48
1272,-66.196057,-66.194795,14.2145,107.33,6,2,1
1273,-163.21616,-163.20543,2.4847,387.65,1,11,16
1274,-251.45802,-251.44377,5.3616,624.28,14,3,24
1275,-41.134119,-41.132253,1.9715,133.21,1,2,4
1276,-86.02774,-86.017374,6.1013,207.23,4,2,8
1277,-221.09238,-221.08368,0.1664,763.39,12,4,20
1278,-536.13518,-536.04614,0.2923,773.32,22,50,3
1279,-337.29078,-337.27343,1.3854,838.16,20,3,32
1280,-66.269722,-66.264965,2.4928,171.66,2,3,6
1281,-360.69129,-360.66248,0.0096,922.05,2,24,38
1282,-84.124843,-84.112621,2.9839,229.43,3,2,10
1283,-109.85265,-109.84413,18.3589,182.32,6,6,4
1284,-65.454027,-65.446072,0.002,183.24,2,3,6
1285,-180.82209,-180.81547,4.7074,414.11,12,1,16
1286,-416.99025,-416.96876,40.613,1047.86,24,5,40
1287,-83.194782,-83.183357,2.9,234.51,2,3,10
1288,-218.84032,-218.82693,13.3957,476.33,13,2,20
1289,-446.1859,-446.15488,0.0466,979.17,8,32,32
1290,-96.075838,-96.066851,4.9873,248.58,1,8,7
1291,-90.472167,-90.467263,9.5017,282.35,4,2,10
1292,-144.41035,-144.40297,16.1998,244.94,4,12,6
1293,-166.46146,-166.45049,2.6049,397.12,4,8,16
1294,-93.778258,-93.77242,0.4343,225.95,4,3,8
1295,-166.01646,-166.00415,4.1606,451.77,3,9,16
1296,-65.453176,-65.445319,0.2861,183.3,2,3,6
1297,-73.200101,-73.194067,0.0225,184.08,2,4,6
1298,-332.91187,-332.89934,12.5093,880.21,5,24,28
1299,-75.007378,-75.002843,5.158,122.78,6,1,4
1300,-80.748949,-80.74487,0.9433,135.19,4,4,4
1301,-83.852228,-83.843365,7.5814,133.44,3,8,1
1302,-381.50129,-381.45291,20.4046,572.96,26,23,3
1303,-31.378072,-31.375166,3.6797,70.33,1,2,2
1304,-223.75814,-223.743,2.6519,547.33,7,10,20
1305,-593.77261,-593.73645,35.358,1449,24,24,48
1306,-446.30064,-446.24408,4.2801,644.38,40,14,6
1307,-42.995865,-42.992393,2.7686,96.28,2,1,4
1308,-137.22406,-137.21547,7.2022,429.35,6,2,16
1309,-41.258674,-41.255247,1.0256,68.01,3,1,2
1310,-51.449886,-51.44771,0,110.89,3,1,4
1311,-166.67862,-166.67207,9.0611,442.5,8,4,16
1312,-96.680833,-96.67586,4.4586,189.05,3,6,6
1313,-97.385545,-97.38107,5.413,217.38,2,6,8
1314,-452.59268,-452.55818,31.8358,986.3,35,1,32
1315,-145.24689,-145.23826,12.3592,236.57,12,2,7
