index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
1190,-117.636890,-117.630830,1.588200,310.960000,4,4,12,-0.362680,0.178023,0.059522
1191,-129.764570,-129.748720,0.001100,268.680000,4,8,8,-0.417064,0.091023,0.000048
1192,-37.019946,-37.016517,0.508600,92.770000,2,1,3,-0.184323,0.352568,0.063892
1193,-24.823298,-24.821508,0.000000,67.080000,1,1,2,-0.339331,0.211492,0.000000
1194,-106.713200,-106.705700,16.035900,177.710000,3,9,4,-0.202959,0.179634,1.051620
1195,-238.492880,-238.476350,10.284500,615.470000,9,7,24,-0.407333,0.135691,0.194739
1196,-153.337210,-153.333930,3.888900,342.480000,8,4,12,-0.403817,0.133074,0.132333
1197,-155.222010,-155.211980,17.246700,317.120000,8,8,8,-0.022477,0.412771,0.633811
1198,-92.597807,-92.592495,0.000000,226.190000,3,4,8,-0.470135,0.085054,0.000000
1199,-50.197909,-50.193939,2.522400,152.660000,2,1,6,-0.210333,0.278825,0.192560
1200,-437.683570,-437.656080,10.928700,1130.170000,4,30,40,-0.439946,0.117696,0.112694
1201,-83.052216,-83.045463,3.395900,229.990000,2,3,10,-0.296580,0.170363,0.172077
1202,-230.121720,-230.109040,0.906200,603.900000,3,13,24,-0.412440,0.106546,0.017488
1203,-50.434472,-50.432537,1.018200,131.030000,2,2,4,-0.438021,0.112802,0.090561
1204,-75.774404,-75.767333,3.899300,150.050000,4,2,6,-0.328848,0.208043,0.302850
1205,-118.424060,-118.414030,0.069200,357.090000,6,2,12,-0.258980,0.271505,0.002258
1206,-42.853797,-42.849819,1.765400,135.810000,2,1,4,-0.401303,0.134993,0.151492
1207,-224.105820,-224.093210,16.031600,579.840000,2,18,18,-0.240537,0.346434,0.322215
1208,-134.000460,-133.988750,5.301800,240.820000,8,4,8,-0.343345,0.121414,0.256571
1209,-42.998730,-42.995364,2.760000,96.260000,2,1,4,-0.422095,0.114201,0.334149
1210,-157.825200,-157.816240,0.563100,404.250000,3,8,16,-0.432745,0.098907,0.016234
1211,-85.162856,-85.155166,5.143900,204.450000,5,1,8,-0.260369,0.263986,0.293213
1212,-346.250900,-346.224790,35.112800,1007.010000,24,2,28,-0.318806,0.197291,0.406358
1213,-179.895190,-179.882710,6.822600,386.100000,8,8,12,-0.310346,0.198009,0.205934
1214,-566.710430,-566.678980,52.341000,1321.810000,36,5,48,-0.388865,0.131419,0.461477
1215,-59.479236,-59.475132,1.302000,134.210000,4,1,4,-0.311320,0.173114,0.113059
1216,-120.514090,-120.507340,33.766400,188.940000,12,2,2,0.082721,0.262013,2.082755
1217,-294.481140,-294.463750,1.304400,588.790000,8,20,18,-0.344303,0.163702,0.025818
1218,-64.664361,-64.660037,4.741000,153.160000,5,1,4,0.032949,0.476045,0.360746
1219,-41.551007,-41.549069,0.001000,97.380000,1,2,4,-0.419567,0.131325,0.000120
1221,-51.499728,-51.497151,2.112300,128.780000,3,1,4,-0.392522,0.137403,0.191155
1222,-233.126650,-233.111250,0.085100,601.710000,4,13,23,-0.382842,0.158885,0.001648
1223,-93.994031,-93.993059,0.000000,273.910000,4,2,10,-0.353214,0.178573,0.000000
1224,-415.111300,-415.088020,0.214000,918.740000,1,35,32,-0.493226,0.100182,0.002715
1225,-89.567998,-89.559462,0.684900,248.290000,1,5,10,-0.343977,0.147495,0.032147
1226,-155.385580,-155.372770,0.034200,495.460000,4,8,14,-0.353255,0.209036,0.000804
1227,-84.586468,-84.577677,0.209300,201.700000,3,3,8,-0.423206,0.125032,0.012093
1228,-112.770850,-112.762820,20.729800,179.800000,8,4,4,-0.135091,0.209108,1.343640
1229,-41.472909,-41.470100,0.296000,116.460000,1,2,4,-0.408286,0.142606,0.029620
1230,-36.635620,-36.631868,8.333300,86.620000,2,2,2,0.339377,0.774625,1.121182
1231,-49.578239,-49.572935,0.157200,130.110000,1,3,4,-0.509146,0.062574,0.014081
1232,-260.534170,-260.524690,19.492600,801.480000,8,12,24,-0.277717,0.279059,0.283436
1233,-53.275729,-53.273022,5.055800,110.270000,4,1,3,-0.091237,0.335376,0.534330
1234,-250.907350,-250.887880,10.908200,630.750000,10,8,24,-0.321450,0.222807,0.201546
1235,-81.705239,-81.697785,1.800300,264.810000,1,4,10,-0.301975,0.148307,0.079230
1236,-95.606856,-95.600667,4.293400,240.070000,5,1,10,-0.364402,0.161000,0.208421
1237,-38.562475,-38.559498,8.223100,87.280000,2,2,2,0.018106,0.453354,1.097990
1238,-430.655190,-430.604390,0.005400,920.180000,8,32,32,-0.159790,0.396857,0.000068
1239,-150.935420,-150.923330,3.087800,372.150000,8,4,12,-0.303375,0.233515,0.096696
1240,-173.850580,-173.841380,5.638500,403.330000,10,2,16,-0.386478,0.137877,0.162922
1241,-85.531732,-85.525532,9.902300,231.330000,2,6,6,-0.199017,0.340287,0.498863
1242,-118.192770,-118.182860,0.009400,316.120000,4,4,12,-0.390282,0.150421,0.000347
